अँग्रेज़	ãgrēza
अपर्याप्त	aparyāpta
अप्रवासी	apravāsī
अप्रसार	aprasāra
अप्राकृतिक	aprākṛtika
अपराध	aparādha
अपराधियों	aparādhiyō̃
अपराधी	aparādhī
अपराधों	aparādhō̃
अप्रासंगिक	aprāsangika
अप्रिय	apriya
अपरिहार्य	aparihārya
अप्रैल	apraila
अपलब्ध	apalabdha
अपस	apasa
अपहरण	apaharaṇa
अपार	apāra
अपितु	apitu
अपील	apīla
अपीलें	apīlē̃
अपुष्ट	apuṣṭa
अपूर्वा	apūrvā
अपेक्षा	apēkṣā
अपेक्षाएँ	apēkṣāē̃
अपेक्षाकृत	apēkṣākṛta
अपेक्षित	apēkṣita
अपॉरचुनिटि	apôracuniṭi
अपॉरचुनिटी	apôracuniṭī
अपॉर्चुनिटी	apôrcuniṭī
अपोर्च्यूनिटी	apōrcyūniṭī
अपोलो	apōlō
अफगान	aphagāna
अफ़ग़ान	afaġāna
अफ़ग़ानियों	afaġāniyō̃
अफग़ानिस्तान	aphaġānistāna
अफ़गानिस्तान	afagānistāna
अफ़ग़ानिस्तान	afaġānistāna
अफ़ग़ानों	afaġānō̃
अफ़रा	afarā
अफ़्रीक	afrīka
अफ्रीका	aphrīkā
अफ़्रीका	afrīkā
अफ्रीकियों	aphrīkiyō̃
अफ्रीकी	aphrīkī
अफ्रीक़ी	aphrīqī
अफ़्रीकी	afrīkī
अफरीज़ाल	apharīzāla
अफ़रीदी	afarīdī
अफ़्रो	afrō
अफ़वाह	afavāha
अफवाहें	aphavāhē̃
अफ़वाहों	afavāhō̃
अफ़सर	afasara
अफसरों	aphasarō̃
अफ़सरों	afasarō̃
अफसोस	aphasōsa
अफ़सोस	afasōsa
अफ़सोसजनक	afasōsajanaka
अफ़सोसनाक	afasōsanāka
अफ़ीम	afīma
अब	aba
अब्दी	abdī
अब्दुर्रज़ाक	abdurrazāka
अब्दुल	abdula
अब्दुल्ला	abdullā
अब्बास	abbāsa
अब्राहम	abrāhama
अबू	abū
अभद्र	abhadra
अभय	abhaya
अभ्यारण्य	abhyāraṇya
अभ्यास	abhyāsa
अभाव	abhāva
अभिजातवर्गीय	abhijātavargīya
अभिजीत	abhijīta
अभिताभ	abhitābha
अभिनंदन	abhinandana
अभिन्न	abhinna
अभिनय	abhinaya
अभिनय़	abhinaẏa
अभिनव	abhinava
अभिनेत्रियाँ	abhinētriyā̃
अभिनेत्रियों	abhinētriyō̃
अभिनेत्री	abhinētrī
अभिनेता	abhinētā
अभिनेताओं	abhinētāō̃
अभिभूत	abhibhūta
अभिमान	abhimāna
अभियान	abhiyāna
अभियानों	abhiyānō̃
अभियुक्त	abhiyukta
अभियुक्तों	abhiyuktō̃
अभियोग	abhiyōga
अभिराम	abhirāma
अभिव्यक्ति	abhivyakti
अभिवादन	abhivādana
अभिशाप	abhiśāpa
अभिषेक	abhiṣēka
अभी	abhī
अभूतपूर्व	abhūtapūrva
अमंदा	amandā
अमजद	amajada
अमज़द	amazada
अमन	amana
अमनजोत	amanajōta
अमनो	amanō
अमपारा	amapārā
अम्पारा	ampārā
अम्मा	ammā
अमर	amara
अम्र	amra
अमरजीत	amarajīta
अमर्त्य	amartya
अमरदीप	amaradīpa
अमरिंदर	amarindara
अमरीकन	amarīkana
अमरीका	amarīkā
अमरीकियों	amarīkiyō̃
अमरीकी	amarīkī
अमरीकीयों	amarīkīyō̃
अमरीश	amarīśa
अमरेश	amarēśa
अमल	amala
अम्लीय	amlīya
अमले	amalē
अमान	amāna
अमान्य	amānya
अमानवीय	amānavīya
अमानुल्ला	amānullā
अमानुल्लाह	amānullāha
अमिट	amiṭa
अमित	amita
अमिताभ	amitābha
अमीकी	amīkī
अमीना	amīnā
अमीर	amīra
अमीरात	amīrāta
अमुर	amura
अमूमन	amūmana
अमूर	amūra
अमृतलिंगम	amṛtalingama
अमृतसर	amṛtasara
अमृतानंदमयी	amṛtānandamayī
अमृतापुरी	amṛtāpurī
अमेज़न	amēzana
अमेठी	amēṭhī
अमेरिकन	amērikana
अमेरिका	amērikā
अमेरिकी	amērikī
अयंनजीत	ayannajīta
अय्यर	ayyara
अयातुल्ला	ayātullā
अयूब	ayūba
अयोग्य	ayōgya
अयोग्यता	ayōgyatā
अयोध्या	ayōdhyā
अर्जित	arjita
अर्जियाँ	arjiyā̃
अर्ज़ियाँ	arziyā̃
अर्जी	arjī
अर्ज़ी	arzī
अर्जुन	arjuna
अर्जेंटीना	arjēṇṭīnā
अर्तव्यवस्था	artavyavasthā
अर्थ	artha
अर्थलिंक	arthalinka
अर्थव्यवस्था	arthavyavasthā
अर्थशास्त्रियों	arthaśāstriyō̃
अर्थों	arthō̃
अर्धशतक	ardhaśataka
अर्नाड	arnāḍa
अरपा	arapā
अरपानेट	arapānēṭa
अरब	araba
अरबपतियों	arabapatiyō̃
अरबी	arabī
अरबों	arabō̃
अरमान	aramāna
अरविंद	aravinda
अरविन्द	aravinda
अर्श	arśa
अरशद	araśada
अरसे	arasē
अर्से	arsē
अराजकता	arājakatā
अराफ़ात	arāfāta
अरियल	ariyala
अरी	arī
अरुचि	aruci
अरुण	aruṇa
अरुणाचल	aruṇācala
अरूंधती	arūndhatī
अरूण	arūṇa
अरोड़ा	arōṛā
अल	ala
अलंबरदार	alambaradāra
अलका	alakā
अलक़ायदा	alaqāyadā
अलख	alakha
अलग	alaga
अलगाववादियों	alagāvavādiyō̃
अलगाववादी	alagāvavādī
अलगावादियों	alagāvādiyō̃
अल्ज़मैर्स	alzamairsa
अल्जीरिया	aljīriyā
अल्जीरियाई	aljīriyāī
अल्ट्रासाउंड	alṭrāsāuṇḍa
अल्टीमेटम	alṭīmēṭama
अल्ताफ़	altāfa
अल्पना	alpanā
अल्पसंख्यक	alpasaṁkhyaka
अल्पसंख्यको	alpasaṁkhyakō
अल्पसंख्यकों	alpasaṁkhyakō̃
अल्पेश	alpēśa
अल्फ़्रेद	alfrēda
अलबत्ता	alabattā
अलबम	alabama
अल्बर्ट	albarṭa
अलबाब	alabāba
अल्युमिनियम	alyuminiyama
अल्लामा	allāmā
अल्लाह	allāha
अलविदा	alavidā
अलाउद्दीन	alāuddīna
अलायंस	alāyaṁsa
अलावा	alāvā
अलावी	alāvī
अली	alī
अलीगढ़	alīgaṛha
अलेक्जांडर	alēkjāṇḍara
अलेक्ज़ांडर	alēkzāṇḍara
अलेक्जेंडर	alēkjēṇḍara
अलेक्ज़ेंडर	alēkzēṇḍara
अलेक्ज़ेंड्रिया	alēkzēṇḍriyā
अलेजांद्रो	alējāndrō
अवकाश	avakāśa
अवकाशप्राप्त	avakāśaprāpta
अवगत	avagata
अवगुण	avaguṇa
अवतार	avatāra
अवध	avadha
अवधि	avadhi
अवधेश	avadhēśa
अवनीत	avanīta
अव्यवस्था	avyavasthā
अव्यवस्थित	avyavasthita
अवरुद्ध	avaruddha
अवरोध	avarōdha
अवरोधक	avarōdhaka
अव्वल	avvala
अवश्य	avaśya
अवशेष	avaśēṣa
अवशेषे	avaśēṣē
अवशेषों	avaśēṣō̃
अवस्था	avasthā
अवस्थित	avasthita
अवस्थिति	avasthiti
अवसर	avasara
अवसाद	avasāda
अवार्ड	avārḍa
अवार्ड्स	avārḍsa
अविकसित	avikasita
अविनाश	avināśa
अविश्वास	aviśvāsa
अविस्मरणीय	avismaraṇīya
अवेयर	avēyara
अवैध	avaidha
अवॉर्ड	avôrḍa
अवॉर्ड्स	avôrḍsa
अशर	aśara
अशरफ	aśarapha
अशरफ़ुल	aśarafula
अशलील	aśalīla
अश्लील	aślīla
अश्लीलता	aślīlatā
अश्वेत	aśvēta
अशांत	aśānta
अशांति	aśānti
अशिक्षा	aśikṣā
अशिक्षित	aśikṣita
अशिक्षितों	aśikṣitō̃
अशीम	aśīma
अशोक	aśōka
असंतुलन	asantulana
असंतुलित	asantulita
असंभव	asambhava
असंवैधानिक	asaṁvaidhānika
असगर	asagara
अस्तित्त्व	astittva
अस्तित्व	astitva
अस्थाई	asthāī
अस्थाना	asthānā
अस्थायी	asthāyī
अस्थिरता	asthiratā
असद	asada
अस्पताल	aspatāla
अस्पतालों	aspatālō̃
असफल	asaphala
असभ्यताओं	asabhyatāō̃
असम	asama
असमंजस	asamañjasa
असमर्थता	asamarthatā
असमानताओं	asamānatāō̃
असर	asara
असरदार	asaradāra
असरानी	asarānī
असल	asala
असलियत	asaliyata
असली	asalī
अस्वीकार	asvīkāra
अस्सी	assī
असहनीय	asahanīya
असहाय	asahāya
असाध्य	asādhya
असाधारण	asādhāraṇa
असामाजिक	asāmājika
असामाजिकता	asāmājikatā
असामान्य	asāmānya
असिस्ट्टेंट	asisṭṭēṇṭa
असिसटेंट	asisaṭēṇṭa
असिस्टेड	asisṭēḍa
असीम	asīma
असुरक्षा	asurakṣā
असुरक्षित	asurakṣita
असुरक्षितःसर्वेक्षण	asurakṣitaḥsarvēkṣaṇa
असेसमेंट	asēsamēṇṭa
असैनिक	asainika
असॉल्ट	asôlṭa
अहद	ahada
अहम	ahama
अहमद	ahamada
अहमदनगर	ahamadanagara
अहमदाबाद	ahamadābāda
अहमियत	ahamiyata
अहलूवालिया	ahalūvāliyā
अहसास	ahasāsa
अहाते	ahātē
अहिंसा	ahĩsā
अहूजा	ahūjā
आँएंगी	ā̃ēngī
आँकड़ा	ā̃kaṛā
आँकड़े	ā̃kaṛē
आँकड़ों	ā̃kaṛō̃
आँका	ā̃kā
आँकी	ā̃kī
आँख	ā̃kha
आँखें	ā̃khē̃
आँखो	ā̃khō
आँखों	ā̃khō̃
आँठ	ā̃ṭha
आँत	ā̃ta
आँदोलन	ā̃dōlana
आँध्र	ā̃dhra
आँफिस	ā̃phisa
आँसू	ā̃sū
आंकड़ा	ānkaṛā
आंकड़े	ānkaṛē
आंकड़ें	ānkaṛē̃
आंकड़ों	ānkaṛō̃
आंका	ānkā
आंकी	ānkī
आंखे	ā̃khē
आंखों	ā̃khō̃
आंजी	āñjī
आंतरिक	āntarika
आंद्रे	āndrē
आंदोलन	āndōlana
आंदोलित	āndōlita
आंध्र	āndhra
आंध्रप्रदेश	āndhrapradēśa
आंध्रा	āndhrā
आंधी	āndhī
आंशिक	ā̃śika
आइ	āi
आइंस्टाइन	āĩsṭāina
आइए	āiē
आइज़नर	āizanara
आइडिया	āiḍiyā
आइडेंटीटीफ़िकेशन	āiḍēṇṭīṭīfikēśana
आइसक्रीम	āisakrīma
आई	āī
आईं	āī̃
आईआईटी	āīāīṭī
आईआईसी	āīāīsī
आईआर	āīāra
आईएएस	āīēēsa
आईएमएफ़	āīēmaēfa
आईएस	āīēsa
आईओए	āīōē
आईओसी	āīōsī
आईजनहॉवर	āījanahôvara
आईटी	āīṭī
आईना	āīnā
आईने	āīnē
आईनों	āīnō̃
आईपीसीएल	āīpīsīēla
आईबीएम	āībīēma
आईलैंड	āīlaiṇḍa
आईसीसी	āīsīsī
आउट	āuṭa
आउटन	āuṭana
आउटसोर्सिंग	āuṭasōrsinga
आए	āē
आएँ	āē̃
आएँगी	āē̃gī
आएँगे	āē̃gē
आएं	āē̃
आएगा	āēgā
आएगी	āēgī
आएशा	āēśā
आओ	āō
आकड़ों	ākaṛō̃
आकर	ākara
आक्रमक	ākramaka
आक्रमण	ākramaṇa
आकर्षक	ākarṣaka
आकर्षण	ākarṣaṇa
आकर्षित	ākarṣita
आक्रामक	ākrāmaka
आक्रामकता	ākrāmakatā
आक्रोश	ākrōśa
आकलन	ākalana
आकस्मिक	ākasmika
आका	ākā
आकांक्षाओं	ākānkṣāō̃
आकार	ākāra
आकाश	ākāśa
आकाशगंगा	ākāśagangā
आकाशगंगाएँ	ākāśagangāē̃
आकाशगंगाओं	ākāśagangāō̃
आकाशवाणी	ākāśavāṇī
आकाशेर	ākāśēra
आखिर	ākhira
आख़िर	āḵẖira
आखिरकार	ākhirakāra
आख़िरकार	āḵẖirakāra
आखिरी	ākhirī
आख़िरी	āḵẖirī
आग	āga
आग्रह	āgraha
आगरा	āgarā
आगरे	āgarē
आगले	āgalē
आग़ा	āġā
आगामी	āgāmī
आगाह	āgāha
आगे	āgē
आगें	āgē̃
आगोश	āgōśa
आघात	āghāta
आचरण	ācaraṇa
आचार्य	ācārya
आचारसंहिता	ācārasaṁhitā
आचे	ācē
आज	āja
आजकल	ājakala
आजके	ājakē
आजतक	ājataka
आज़म	āzama
आजमगढ़	ājamagaṛha
आज़मगढ़	āzamagaṛha
आज़माइश	āzamāiśa
आज़माई	āzamāī
आज़माए	āzamāē
आज़माकर	āzamākara
आज़माना	āzamānā
आज़माया	āzamāyā
आज़मी	āzamī
आजा	ājā
आजातशत्रु	ājātaśatru
आज़ाद	āzāda
आज़ादी	āzādī
आज़ार	āzāra
आज़िम	āzima
आजीवन	ājīvana
आजीविका	ājīvikā
आट्टो	āṭṭō
आठ	āṭha
आठवाँ	āṭhavā̃
आठवां	āṭhavā̃
आठवीं	āṭhavī̃
आठवें	āṭhavē̃
आड़	āṛa
आडवाणी	āḍavāṇī
आड़े	āṛē
आणविक	āṇavika
आतंक	ātanka
आतंकवाद	ātankavāda
आतंकवादियों	ātankavādiyō̃
आतंकवादी	ātankavādī
आतंरिक	ātaṁrika
आतकंकवाद	ātakankavāda
आततायी	ātatāyī
आत्मकथा	ātmakathā
आत्मघाती	ātmaghātī
आत्मजा	ātmajā
आत्मनिर्णय	ātmanirṇaya
आत्मनिर्भर	ātmanirbhara
आत्मनिर्भरता	ātmanirbharatā
आत्मबल	ātmabala
आत्मरक्षा	ātmarakṣā
आत्मविश्वास	ātmaviśvāsa
आत्मसम्मान	ātmasammāna
आत्मसमर्पण	ātmasamarpaṇa
आत्महत्या	ātmahatyā
आत्महत्याएँ	ātmahatyāē̃
आत्मा	ātmā
आत्मिक	ātmika
आत्मीयता	ātmīyatā
आता	ātā
आतिशी	ātiśī
आती	ātī
आतुर	ātura
आते	ātē
आदत	ādata
आदतों	ādatō̃
आदम	ādama
आदमख़ोर	ādamaḵẖōra
आदमियों	ādamiyō̃
आदमी	ādamī
आदरणीय	ādaraṇīya
आदर्श	ādarśa
आदर्शवादी	ādarśavādī
आदर्शों	ādarśō̃
आदान	ādāna
आदि	ādi
आदित्य	āditya
आदिम	ādima
आदिवासी	ādivāsī
आदी	ādī
आदेश	ādēśa
आदेशों	ādēśō̃
आध्यात्मिक	ādhyātmika
आधा	ādhā
आधाकारिक	ādhākārika
आधार	ādhāra
आधारशिला	ādhāraśilā
आधारहीन	ādhārahīna
आधारित	ādhārita
आधिकारिक	ādhikārika
आधी	ādhī
आधुकनिकता	ādhukanikatā
आधुनिक	ādhunika
आधुनिकतम	ādhunikatama
आधुनिकीकरण	ādhunikīkaraṇa
आधे	ādhē
आनंद	ānanda
आन्दोलन	āndōlana
आनन	ānana
आना	ānā
आनी	ānī
आनुवंशिक	ānuvaṁśika
आने	ānē
आप	āpa
आपका	āpakā
आपकी	āpakī
आपके	āpakē
आपको	āpakō
आप्टे	āpṭē
आपत्ति	āpatti
आपत्तिजनक	āpattijanaka
आपता	āpatā
आपदा	āpadā
आपदाएं	āpadāē̃
आपदाओं	āpadāō̃
आपने	āpanē
आपबीती	āpabītī
आप्रवासियों	āpravāsiyō̃
आपराधिक	āparādhika
आपराधों	āparādhō̃
आपरेशन	āparēśana
आपस	āpasa
आपसी	āpasī
आपसे	āpasē
आपात	āpāta
आपातकालीन	āpātakālīna
आपाधापी	āpādhāpī
आपास	āpāsa
आपूर्ति	āpūrti
आफ़्टरगुड	āfṭaraguḍa
आफ़्टरवुड	āfṭaravuḍa
आफ़त	āfata
आफ़ताब	āfatāba
आफ़तें	āfatē̃
आबाद	ābāda
आबादियों	ābādiyō̃
आबादी	ābādī
आभार	ābhāra
आभारी	ābhārī
आम	āma
आमजन	āmajana
आमतौर	āmataura
आमद	āmada
आमदनी	āmadanī
आमने	āmanē
आमबैठक	āmabaiṭhaka
आमालों	āmālō̃
आमिर	āmira
आय	āya
आयतुल्ला	āyatullā
आयरलैंड	āyaralaiṇḍa
आयरलैड	āyaralaiḍa
आयर्स	āyarsa
आयशा	āyaśā
आया	āyā
आयाज़	āyāza
आयात	āyāta
आयाम	āyāma
आयी	āyī
आयु	āyu
आयुक्त	āyukta
आयुक्तों	āyuktō̃
आयें	āyē̃
आयेगा	āyēgā
आयेगी	āyēgī
आयोग	āyōga
आयोजक	āyōjaka
आयोजकों	āyōjakō̃
आयोजन	āyōjana
आयोजनों	āyōjanō̃
आयोजित	āyōjita
आर	āra
आरंभ	ārambha
आरआईएल	āraāīēla
आरएसएस	āraēsaēsa
आरक्षण	ārakṣaṇa
आरक्षित	ārakṣita
आरके	ārakē
आर्चबिशप	ārcabiśapa
आरजेडी	ārajēḍī
आर्ट	ārṭa
आर्टिमियो	ārṭimiyō
आरटीएस	āraṭīēsa
आर्डर	ārḍara
आर्थर	ārthara
आर्थिक	ārthika
आर्द्र	ārdra
आर्दशों	ārdaśō̃
आर्नल्ड	ārnalḍa
आरम्भ	ārambha
आर्मी	ārmī
आर्यों	āryō̃
आर्सनल	ārsanala
आरसी	ārasī
आराम	ārāma
आरामदायक	ārāmadāyaka
आरामदेह	ārāmadēha
आरिफ	āripha
आरिफ़	ārifa
आरोप	ārōpa
आरोपो	ārōpō
आरोपों	ārōpō̃
आलम	ālama
आला	ālā
आलीशान	ālīśāna
आले	ālē
आलेख	ālēkha
आलोक	ālōka
आलोचक	ālōcaka
आलोचकों	ālōcakō̃
आलोचना	ālōcanā
आलोचनाओं	ālōcanāō̃
आलोचनात्मक	ālōcanātmaka
आवभागत	āvabhāgata
आवरण	āvaraṇa
आवश्यक	āvaśyaka
आवश्यकता	āvaśyakatā
आवागमन	āvāgamana
आवाज़	āvāza
आवाजाही	āvājāhī
आवाज़े	āvāzē
आवाजें	āvājē̃
आवाज़ें	āvāzē̃
आवाज़ों	āvāzō̃
